cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
sucrose,formulation_factor,aggregation,degradation_pathway,destabilizes,4,4,high,"minimize physical instabilities including aggregation, particulation, and precipitation",19388069;32911043;33555888;34907498
light exposure,stress_condition,aggregation,degradation_pathway,induces,4,4,high,formation of a significant extent of aggregates has been detected after shining high simulated sunlight doses,32060315;38401872;39527351;41083059
agitation stress,stress_condition,particle formation,degradation_pathway,induces,4,3,medium,can cause mAb aggregation or even particle formation.,33137385;39179400;39389538
N-linked glycosylation,sequence_structure,stability,quality_attribute,stabilizes,4,4,high,N-linked glycosylation is an important post translational modification that occurs on Asparagine 297 residue... plays im,19915009;33039440;41380533;8064227
storage conditions,stress_condition,physicochemical stability,quality_attribute,stabilizes,4,3,medium,physicochemically and microbiologically stable for at least 2 days when stored at 4 and 25C.,30384340;31009889;34153938
agitation,stress_condition,aggregation,degradation_pathway,induces,4,4,high,Agitation with siliconized beads greatly accelerated the formation of protein aggregates.,19360857;23280943;33656340;41077160
lebrikizumab,formulation_factor,stability,quality_attribute,stabilizes,4,1,high,96.0% of Week 16 responders receiving lebrikizumab Q4W showed stable EASI-75 responses.,41206702
storage conditions,stress_condition,long-term stability,quality_attribute,requires,4,3,medium,greater than 80% of purified tetramers retained their original dimensions after storage for 1 year at 4 degrees C.,1697645;34654882;39608463
high concentration,formulation_factor,viscosity,quality_attribute,increases,4,4,high,High viscosity of monoclonal antibody formulations at concentrations >=100 mg/mL can impede their development.,25559441;35075980;36442683;41378112
excipients,formulation_factor,aggregation,degradation_pathway,destabilizes,4,4,high,mannitol reduced aggregation by sixfold in pembrolizumab and by threefold in denosumab.,23873602;34059716;40284529;41471335
lyophilization,formulation_factor,stability,quality_attribute,stabilizes,4,4,high,the mRNA loaded into oEVs was protected and was stable at room temperature for one year after lyophilization and encapsu,22283655;35942271;37508491;8914198
aggregation,degradation_pathway,immunogenicity,clinical_outcome,destabilizes,4,4,high,Aggregation can cause immunogenicity,25350583;34059716;35735359;40139530
agitation stress,stress_condition,aggregation,degradation_pathway,promotes,3,3,high,The aggregation of ADCs was evaluated under shaking stress conditions.,38070776;38679234;39179400
polysorbate 80,formulation_factor,stability,quality_attribute,increases,3,3,high,"some excipients, such as sucrose, polysorbate 80, and sodium phosphate, increase its stability.",25385011;31254660;33711346
mannitol,formulation_factor,aggregation,degradation_pathway,decreases,3,3,high,All tested excipients significantly reduced aggregation of both mAbs during low-pH incubation.,39564766;39837187;41471335
liposome,formulation_factor,drug stability,quality_attribute,stabilizes,3,3,high,liposomes have emerged as a promising nanocarrier for targeted drug delivery...offering improved drug stability.,40972448;41021205;41396166
conformational changes,sequence_structure,aggregation,degradation_pathway,induces,3,3,high,Conformational changes leading to aggregation were analyzed,24994667;36308923;40403800
stabilized fragments,sequence_structure,durability,quality_attribute,stabilizes,3,1,high,"Once stabilized, these antibody fragments demonstrate... durability during purification.",19252856
trehalose,formulation_factor,aggregation,degradation_pathway,destabilizes,3,3,high,"Aggregation following process (Y), after one month at 45C (Y)",26654052;27449627;31659590
linker stability,formulation_factor,efficacy,clinical_outcome,requires,3,3,medium,the adequate stability of the linker during circulation and its rapid release at the target site are crucial for the eff,39893760;41012501;41646266
HP-beta-CD,formulation_factor,aggregation,degradation_pathway,destabilizes,3,3,high,The introduction of HPbetaCD in formulations showed it considerably reduced aggregation in two model proteins.,26654052;38675488;39818362
self-association,degradation_pathway,high viscosity,quality_attribute,promotes,3,3,high,...self-association in common antibody formulations require relatively concentrated protein solutions...predictive of an,31563513;34105965;36668814
polysorbate degradation,degradation_pathway,stability,quality_attribute,destabilizes,3,3,high,Polysorbate degradation in biopharmaceutical formulations can impact the stability and efficacy of therapeutic proteins.,38772451;38984665;41386475
site-specific conjugation,sequence_structure,stability,quality_attribute,promotes,3,3,high,"novel conjugation strategies to produce stable, site-specific, and randomized antibody-niosomal conjugates.",32499302;38348405;40757003
arginine,formulation_factor,aggregation,degradation_pathway,inhibits,3,3,high,excipients that inhibit protein-protein interactions preventing aggregation.,37871869;39540607;39564766
N-glycosylation,sequence_structure,stability,quality_attribute,destabilizes,3,3,high,N-glycosylation of the Fc part is a critical quality attribute that impacts their stability.,22430811;24361341;38759899
thermal stress,stress_condition,deamidation,degradation_pathway,promotes,3,2,high,Ninety antibody variants were incubated under thermal stress in order to induce deamidation.,30130444;38570351
thermal stress,stress_condition,stability,quality_attribute,decreases,3,3,high,DSC indicates that the stability decreases...,35107019;37933954;38147477
TGF-beta 1,sequence_structure,mRNA levels,quality_attribute,increases,3,1,high,"The addition of TGF-beta 1 alone caused an increase in the levels of mRNA for IL-1 alpha, IL-1 beta, and TGF-alpha.",2542408
scFv,sequence_structure,stability,quality_attribute,stabilizes,3,3,high,the scFv dimer and the tetramer both displayed better stability,20065654;29124655;41319471
variant,sequence_structure,thermal stability,quality_attribute,decreases,3,3,high,"221TGA removed all of the hinge and reduced the aggregation rate by 13%, but also decreased the thermal stability",35944694;40772589;41496549
sodium chloride,formulation_factor,colloidal stability,quality_attribute,destabilizes,3,3,high,Addition of sodium chloride increased the viscosity of the NISTmAb and decreased the colloidal stability due to charge s,27449627;29423596;35081405
mechanical stress,stress_condition,aggregation,degradation_pathway,induces,3,3,high,mechanical stress...can induce antibody unfolding and aggregation.,21518762;39481661;40956952
glycosylation,sequence_structure,solubility,quality_attribute,destabilizes,3,3,high,glycosylation is recognized as an important critical quality attribute (CQA) that can affect solubility,25484062;30512936;32334683
temperature range,stress_condition,aggregation,degradation_pathway,induces,3,3,high,"Isothermal incubation at 56.5C, 40C, and 2C-8C resulted in aggregation.",23873602;26692229;30031090
high temperature,stress_condition,aggregation,degradation_pathway,induces,3,3,high,proteins presenting thermal and physical stability not suitable for the harsh condition applied during the RP separation,31545968;31628369;33049261
storage conditions,stress_condition,chemical or physical instability,quality_attribute,prevents,2,1,high,can be stored in polyolefin infusion bags for at least 1 week at 5 or RT with no evidence of chemical or physical instab,31446867
Alhydrogel formulation,formulation_factor,immunogenicity,clinical_outcome,promotes,2,2,high,RBD219-N1C1 and RBD219-WT proteins formulated with Alhydrogel were conducted in mice,33173864;33847226
HP-beta-CD,formulation_factor,infliximab,quality_attribute,stabilizes,2,1,high,the stabilizing effect of 2-hydroxypropyl-beta-cyclodextrin (HP-beta-CD) in liquid and solid formulations of infliximab,39818362
RBD protein,sequence_structure,neutralizing antibody titers,quality_attribute,induces,2,2,high,sera obtained after a two-dose immunization schedule of the vaccines were sufficient to elicit strong neutralizing antib,33173864;33847226
RBD protein,sequence_structure,binding IgG,clinical_outcome,induces,2,2,high,both the RBD219-WT and RBD219-N1C1 vaccines induced high levels of binding IgG antibodies,33173864;33847226
solution pH,formulation_factor,thermal stability,quality_attribute,increases,2,2,medium,Thermal stabilization of the antibody was influenced by solution pH.,27866015;31758731
RBD modifications,sequence_structure,stability,quality_attribute,promotes,2,2,high,introducing two modifications into the wild-type RBD gene to reduce yeast-derived hyperglycosylation and improve stabili,33173864;33847226
sarcosine,formulation_factor,aggregation,degradation_pathway,destabilizes,2,1,high,for reducing aggregation of mAb therapeutics.,34907498
agitation,stress_condition,subvisible particles,sequence_structure,induces,2,2,high,exposed to agitation and freeze-thaw stresses to generate particles.,31672401;35835184
mechanical stress,stress_condition,mAb stability,quality_attribute,destabilizes,2,2,high,"detrimental interplay of mechanical, interfacial, and thermal/dehydration stresses on mAb-A stability.",38518870;41254318
thermal stress,stress_condition,mAb stability,quality_attribute,destabilizes,2,2,high,"detrimental interplay of mechanical, interfacial, and thermal/dehydration stresses on mAb-A stability.",38518870;39427803
elastic moduli,formulation_factor,long-term stability,quality_attribute,correlates,2,1,high,interfacial elastic moduli being particularly sensitive to discriminate between stable and unstable mAbs.,37917554
HAFV resin,formulation_factor,stability,quality_attribute,increases,2,1,high,the static capacity of HAFV resin (8.21+/-0.30mg/ml) was better than that of the untagged AFV gel (6.48+/-0.56mg/ml),31213362
oxidation,degradation_pathway,stability,quality_attribute,destabilizes,2,2,high,"Oxidation is one of the most common degradation pathways of biopharmaceutics, potentially leading to altered product sta",38677563;40306556
UV exposure,stress_condition,stability,quality_attribute,destabilizes,2,2,high,the stability of EV-A71 vaccines is often compromised by factors such as ultraviolet (UV) irradiation,40460346;41797147
organoid culture,formulation_factor,stability,quality_attribute,stabilizes,2,1,high,we define the robustness of this method... demonstrate the stability of TME cellular composition.,38402619
colloidal stability,formulation_factor,aggregation,degradation_pathway,promotes,2,2,medium,Solution conditions which reduced colloidal stability of the antibody...accelerated aggregation during agitation with si,19360857;31669120
RACK1,sequence_structure,PPARgamma,sequence_structure,binds,2,1,high,RACK1 directly binds to and stabilizes PPARgamma.,40512793
ADC,formulation_factor,stability,quality_attribute,destabilizes,2,2,high,Due to limited stability of 20D9h3-DUBA ADC in vivo.,33456559;39870768
protein-protein interactions,degradation_pathway,colloidal stability,quality_attribute,destabilizes,2,2,high,Attractive protein?protein interactions (PPI) in concentrated monoclonal antibody (mAb) solutions may lead to reversible,31146525;35643368
polysorbate binding,formulation_factor,unfolding temperature,quality_attribute,increases,2,1,high,implying improved protein stability.,39633654
self-association,degradation_pathway,aggregation,degradation_pathway,induces,2,2,high,"...but also concentration-dependent, initially reversible, protein self-association.",31181988;38572979
disulfide bond,sequence_structure,thermal stability,quality_attribute,increases,2,2,high,engineering an additional disulfide bond in mCH3 remarkably increased its thermal stability.,23867459;33928224
administration post-challenge,stress_condition,survival,clinical_outcome,increases,2,1,high,TwinRab achieved 90% survival when administered six hours post-challenge.,41487745
engineered disulfide bond,sequence_structure,stability,quality_attribute,increases,2,1,high,each mutated domain shows obviously increased stability during thermo-induced unfolding,30327432
decreases in biomarkers,quality_attribute,improved disease activity,clinical_outcome,correlates,2,1,high,"decreases in CRP, IL-6, C1M, and C6M levels correlated with improved joint disease activity.",39493888
acid treatment,formulation_factor,platelet activation,quality_attribute,increases,2,1,high,Acid treatment increased platelet activation.,38596985
low pH,formulation_factor,thermal stability,quality_attribute,decreases,2,2,high,low-pH or high-salt concentrations decrease the thermal stability of mAb1.,25385011;27449627
"CP-751,871 treatment",formulation_factor,elevated enzyme levels,quality_attribute,induces,2,1,medium,The most common adverse events were elevated aspartate aminotransferase.,17908976
mutations in CDRs,sequence_structure,stability,quality_attribute,increases,2,1,high,"to increase stability, we introduced mutations into the complementarity-determining regions (CDRs) of the antibody.",31614869
temperature change,stress_condition,aggregation,degradation_pathway,induces,2,2,high,"temperature increase leads to characteristic fluorescence changes over time, which can be attributed to separable effect",28624419;32656609
storage conditions,stress_condition,physicochemical instability,quality_attribute,prevents,2,1,high,There were no signs of physicochemical instability after seven days (on D7) of storage at 4 or 25C.,27659414
high temperature,stress_condition,loss of native contacts,sequence_structure,destabilizes,2,1,high,thermal stress led to 5-7% loss of native contacts in all four domains.,34093988
somatic hypermutation,sequence_structure,thermal stability,quality_attribute,promotes,2,2,medium,suggest an expanded role for somatic hypermutation in which both binding affinity and stability are optimized during clo,23795814;31553901
EIA,formulation_factor,long-term stability,quality_attribute,stabilizes,2,1,high,proved suitable for establishing the long-term stability of IRV drug substance.,39608463
high concentration,formulation_factor,high viscosity,quality_attribute,increases,2,2,high,viscosity can be readily above 50 mPa.s when the concentration exceeds 150 mg/mL.,35417176;38572979
storage conditions,stress_condition,antibody affinity,quality_attribute,stabilizes,2,1,high,...storage at room temperature for 1 year...had no deleterious effects on antibody affinity.,26981333
pH change,formulation_factor,aggregation kinetics,quality_attribute,increases,2,2,high,a pH shift from 7.5 to 6.0 yields significantly faster aggregation kinetics,19899812;39348223
liquid chromatography-tandem mass spectrometry,formulation_factor,quantification,quality_attribute,increases,2,2,high,A sensitive and specific liquid chromatography-tandem mass spectrometry assay was developed for the quantification of ch,40054108;40693538
blockade,formulation_factor,neutrophil adhesion,clinical_outcome,decreases,2,1,high,its blockade by an anti-CD41 monoclonal antibody... reduced CXCL8 and PMA induced neutrophil adhesion.,40885916
gene editing,sequence_structure,stability,formulation_factor,requires,2,2,medium,gene editing may require stacked edits and concurrent vaccination.,41150154;41656178
Dezamizumab,sequence_structure,complement activation,clinical_outcome,induces,2,1,high,"The mechanism of action of Dezamizumab includes the binding of SAP, complement activation through classical pathway.",34461096
glycosylation,sequence_structure,aggregation,degradation_pathway,decreases,2,2,high,the introduction of a glycosylation site in the constant region decreases the aggregation of adalimumab Fab.,29909010;38890199
ADCs,sequence_structure,systemic toxicity,clinical_outcome,decreases,2,2,high,enabling tumor-specific delivery and reducing systemic toxicity.,40814440;40824329
sucrose concentration,formulation_factor,stability,quality_attribute,stabilizes,2,2,high,exhibiting good stability of OVA-csNLCs in the form of freeze-dried powder.,25091348;34411614
NMR,formulation_factor,higher order structure,sequence_structure,modifies,2,2,high,High-resolution nuclear magnetic resonance (NMR) spectroscopy has been recently highlighted for protein HOS characteriza,39500469;41650345
deamidation,degradation_pathway,potency,quality_attribute,decreases,2,2,high,"this PTM can significantly impact the therapeutic's potency, stability, and/or immunogenicity.",35040751;37987246
deamidation,sequence_structure,biological activity,clinical_outcome,destabilizes,2,2,high,this NW motif readily deamidating...greatly impacts the ADC's biological activities.,30786796;37987246
polysorbate 80,formulation_factor,aggregation,degradation_pathway,destabilizes,2,2,high,"All three surfactants are susceptible to degradation, which can result in functionality loss and subsequent protein aggr",38432108;38519813
C2 cleavages,sequence_structure,fragments,sequence_structure,induces,2,1,high,C2 domain cleavages...can be electrophoretically resolved as a front shoulder.,34719342
poloxamer 188,formulation_factor,aggregation,degradation_pathway,destabilizes,2,2,high,"All three surfactants are susceptible to degradation, which can result in functionality loss and subsequent protein aggr",38432108;39722424
ambient light exposure,stress_condition,aggregation,degradation_pathway,induces,2,2,high,"TOP1-ADCs underwent significant chemical, physical, and biofunctional changes, including... aggregation",36894037;41273300
storage conditions,stress_condition,HMWs,quality_attribute,induces,2,1,high,Aggregation or formation of high molecular weight species (HMWS) was observed... during freeze-thaw and storage at -20 C,40021009
nanobodies,sequence_structure,high affinity,quality_attribute,promotes,2,2,high,confirmed the nanobodies' high affinity and stability through Octec platform and stability analyses.,39880295;41149317
thermal stress,stress_condition,aggregation propensity,quality_attribute,promotes,2,2,medium,assessment of mAb dimerization and monomer purity under various stress conditions,35504429;40116864
IFX aggregates,degradation_pathway,THP-1 phenotype,sequence_structure,modifies,2,1,high,some IFX aggregates... altered THP-1 phenotype.,41554462
ACI-6677,sequence_structure,pTDP-43 inclusions,quality_attribute,decreases,2,1,high,ACI-6677 significantly limited the induction of phosphorylated TDP-43 (pTDP-43) inclusions.,39363348
AJICAP-M,formulation_factor,stability,quality_attribute,increases,2,1,medium,"produces antibody-drug conjugates (ADCs) with consistent drug-to-antibody ratios, enhanced stability",38639400
lysine,sequence_structure,stability,quality_attribute,destabilizes,2,2,high,the lysine-conjugated ADC exhibits the least stability,39279529;40434212
nutraceuticals,formulation_factor,osteogenesis,clinical_outcome,promotes,2,1,high,"These compounds promote osteoblastogenesis, inhibit osteoclast differentiation, and mitigate oxidative stress.",41570965
conjugation,formulation_factor,physicochemical properties,sequence_structure,modifies,2,2,high,conjugation of small molecule drugs to mAbs alters the physicochemical properties of mAbs.,25986175;31643066
Asp isomerization,sequence_structure,stability,quality_attribute,decreases,2,2,high,"including Met1 oxidation and Asp2 isomerization, can be identified and quantified by liquid chromatography-tandem mass s",22727819;38546837
Pro95 deletion,sequence_structure,catalytic activity,clinical_outcome,induces,2,1,high,Pro95-deleted light chains exhibited a catalytic activity to cleave the antigenic peptide.,38806597
thermal denaturation,stress_condition,cell adhesion,clinical_outcome,decreases,2,1,high,It decreased gradually after heat denaturation of the protein above 65 degrees C.,7775432
oxidation,degradation_pathway,colloidal stability,quality_attribute,destabilizes,2,1,high,"oxidation of biopharmaceutics represents a major degradation pathway, which may impact colloidal stability.",30389566
linker stability,formulation_factor,therapeutic index,clinical_outcome,increases,2,2,medium,"Advancements in payload design, linker stability, and conjugation methodologies have enhanced therapeutic indices.",41001717;41222552
buffers and excipients,formulation_factor,stability,quality_attribute,modifies,2,2,high,The stability of GXN-04 was varied by basal buffers and excipients.,26851357;40057212
AQC2 antibody,sequence_structure,exchange,quality_attribute,decreases,2,1,medium,The antibody AQC2... reduced exchange in MIDAS loop 2,22847004
niosomes,formulation_factor,stability,quality_attribute,increases,2,2,medium,"Niosomes, with their lower production costs, improved stability, and biocompatibility, have emerged as promising alterna",30700021;40757003
shaking stress,stress_condition,aggregation,degradation_pathway,promotes,2,2,high,shaking stress is often employed to assess the physical stability of antibody formulations against aggregation.,19922795;35257695
N-glycosylation,sequence_structure,immunogenicity,clinical_outcome,decreases,2,2,high,the immunogenicity of the glycosylated Fab was lower than that of the wild-type Fab.,38759899;40307023
shaking stress,stress_condition,sub-visible particle formation,quality_attribute,destabilizes,2,2,medium,shaking stress on protein degradation and sub-visible particle (SbVP) formation in freeze-dried mAb formulations,35257695;38291165
dynamic simulations,sequence_structure,hotspots,sequence_structure,induces,2,2,medium,molecular dynamics simulations revealed potential interacting hotspots without NMR spectra assignment.,39571949;41076138
frequent injections,formulation_factor,treatment burden,clinical_outcome,increases,2,2,high,limitations such as frequent injections...continue to pose challenges in clinical practice.,41095792;41164174
ADCs,sequence_structure,stability,quality_attribute,destabilizes,2,2,medium,"addressing key challenges such as stability, half-life, and systemic toxicity.",39770542;40814440
sugemalimab,clinical_outcome,QALYs,quality_attribute,increases,2,2,high,the sugemalimab plus chemotherapy provided an additional 0.36 QALYs.,41521567;41734928
linker design,formulation_factor,ADC stability,quality_attribute,promotes,2,2,medium,optimal design of a linker to confer ADC stability with limited off-site toxicity.,30359534;34248637
faricimab,sequence_structure,vascular stability,clinical_outcome,increases,2,2,high,"faricimab enhances vascular stability, reduces leakage, and enables extended treatment intervals.",41095792;41164174
Fc fusion,sequence_structure,stability,quality_attribute,increases,2,2,high,This Fc fusion protein exhibited enhanced stability in cell-based assays in comparison with the unmodified propeptide sp,18347141;32002712
high temperature,stress_condition,stability,quality_attribute,destabilizes,2,2,high,significant challenges due to protein instability under high temperatures,41193251;41547526
glycan content,sequence_structure,immune response quality,clinical_outcome,increases,2,2,medium,glycan content impacts biochemical properties of antigens to varying degrees and such effects can influence immune respo,40291659;40500295
bispecific antibodies,sequence_structure,stability,quality_attribute,destabilizes,2,2,medium,their utility is limited due to problems with stability.,21149738;28055299
CHO antigens,sequence_structure,affinity,quality_attribute,increases,2,2,medium,geCHO antigens exhibited a modest but reproducible increase in affinity for some mAbs,40291659;40500295
glycan content,sequence_structure,response,clinical_outcome,destabilizes,2,2,high,"considerable heterogeneity in glycan content, which can affect the antibody response",40291659;40500295
glycan content,sequence_structure,antigen stability,quality_attribute,destabilizes,2,2,high,glycans would maximize epitope exposure without compromising antigen stability,40291659;40500295
IgG aggregation,degradation_pathway,immunogenicity,clinical_outcome,induces,2,2,high,Aggregates are one of the major risk factors for the undesired immunogenicity of therapeutic antibodies.,20600325;35336045
V44K,sequence_structure,solubility,quality_attribute,increases,2,2,high,V44K...increased apparent solubility and reduced viscosity of MAB 1.,25559441;30189027
V44K,sequence_structure,viscosity,quality_attribute,decreases,2,2,high,V44K...increased apparent solubility and reduced viscosity of MAB 1.,25559441;30189027
HP-beta-CD,formulation_factor,protein-protein interactions,degradation_pathway,decreases,2,2,high,The diffusion interaction parameter revealed a reduction in protein-protein interactions by HPbetaCD.,38675488;39374691
polysorbates,formulation_factor,aggregation,degradation_pathway,destabilizes,2,2,high,"Polysorbates are commonly used to stabilize mAbs, but they are prone to degradation, which results in unwanted impuritie",38675488;40617264
thermal stress,stress_condition,subvisible particles,quality_attribute,increases,2,2,high,the monomer content was decreased with an increase in subvisible particulates after agitation or thermal stress.,37871869;39824982
hydrophobicity,formulation_factor,aggregation,degradation_pathway,promotes,2,2,high,"increased hydrophobicity and higher levels of aggregation, which are both detrimental",37379257;40999852
self-association,degradation_pathway,opalescence,quality_attribute,promotes,2,2,high,...predictive of antibody developability issues of high viscosity and opalescence...,34105965;36668814
free thiols,sequence_structure,aggregation,degradation_pathway,promotes,2,2,high,the presence of free thiols may have an impact on aggregate formation,30939413;38070776
high protein concentration,formulation_factor,stability,quality_attribute,stabilizes,2,2,high,the stability of buffer-free formulations that included a disaccharide stabilizer comparable to buffer-based formulation,26455339;28854082
polysorbate degradation,formulation_factor,particle formation,quality_attribute,promotes,2,2,high,the degradation of PS20...can generate free fatty acids (FFAs) that could lead to undesirable particle formation.,41076138;41161553
freeze-thaw cycles,stress_condition,thermal stability,quality_attribute,stabilizes,2,2,high,Three rapid freeze-thaw cycles... further revealed excellent thermal and colloidal stability.,37214886;37334968
binding,sequence_structure,unfolding temperature,quality_attribute,increases,2,2,high,the unfolding temperature (T) for formulated MS-Hu6 increased by >4.80 C upon binding to recombinant FSH.,37214886;37334968
hLF,sequence_structure,plasma half-life,clinical_outcome,increases,2,2,high,hLF-hinge-CH2-CH3 demonstrated a plasma half-life that was 9.1-fold longer than that of rhLF.,25433245;28763236
formulation,formulation_factor,aggregation,degradation_pathway,destabilizes,2,1,high,to minimize aerosolization-induced protein aggregation.,28917988
dianthin,sequence_structure,GI50,quality_attribute,increases,2,1,high,dianthin-Panitumumab of 1.5pM.,26253687
hLF,sequence_structure,thermal stability,quality_attribute,increases,2,2,high,Caco-2 uptake and thermal stability were improved for hLF-Fc fusion relative to rhLF.,25433245;28763236
light exposure,stress_condition,photodegradation,degradation_pathway,induces,2,2,high,"Following light exposure, the stability of ADCs was assessed by examining critical quality attributes, such as aggregati",39013609;41304735
74bbz CAR-T,sequence_structure,cytotoxicity,clinical_outcome,induces,2,1,high,Functionally optimized 74bbz CAR-T cells induced significant killing of MCL cell lines.,37740214
polysorbate degradation,formulation_factor,aggregation,degradation_pathway,induces,2,2,high,"polysorbate degradation... induce protein oxidation, aggregation, and insoluble particle formation.",36235038;37285658
dropping,stress_condition,aggregation,degradation_pathway,induces,2,2,high,dropping of freeze-dried monoclonal antibody (mAb) formulations could cause protein degradation and aggregation,33940028;34282500
hydrogen peroxide,stress_condition,oxidation,degradation_pathway,induces,2,2,high,"Oxidative stress was induced using visible light, hydrogen peroxide, and metal-catalyzed oxidation.",21518762;40306556
sucrose,formulation_factor,mAb stability,quality_attribute,stabilizes,2,2,high,Sucrose is a common cryoprotectant and lyoprotectant to stabilize labile biopharmaceuticals.,31622600;39564766
metal-catalyzed oxidation,stress_condition,oxidation,degradation_pathway,induces,2,2,high,"Oxidative stress was induced using visible light, hydrogen peroxide, and metal-catalyzed oxidation.",21518762;40306556
chitosan nanoparticles,formulation_factor,immune responses,clinical_outcome,promotes,2,2,high,these CHT:TT NPs when co-administered with CDM were able to induce more immune responses,23117021;27927058
subvisible particles,quality_attribute,immunogenicity,clinical_outcome,prevents,2,2,high,did not induce a response in cell-based assays or appear to increase the rate of adverse events or immunogenicity.,38519817;39615881
conformational stability,quality_attribute,aggregation,clinical_outcome,destabilizes,2,2,medium,"aggregation of therapeutic monoclonal antibodies has a potential risk of immunogenicity, requiring minimization of aggre",31669120;39348223
Fc modifications,sequence_structure,omalizumab viscosity,quality_attribute,decreases,2,1,high,the high viscosity of omalizumab (176 cP) was reduced 10.7-fold by Fc modifications,39028186
ACE targeting,sequence_structure,transgene expression,quality_attribute,increases,2,1,high,Administration of retargeted vector complex... resulted in at least a 20-fold increase in both Ad DNA localization and l,11124057
lentiviral vector,formulation_factor,stability,quality_attribute,stabilizes,2,2,high,The level and stability of eGFP expression was greater in LV-transduced cell lines.,20967750;21569583
polysorbate 20,formulation_factor,particle formation,degradation_pathway,inhibits,2,2,high,polysorbate 20 effectively suppressed the particle formation induced by the syringe handling,26413998;39862973
pH change,formulation_factor,stability,quality_attribute,increases,2,2,high,significantly enhancing protein stability.,35667631;40256782
MEDI5884,formulation_factor,increased HDL,quality_attribute,increases,2,1,high,MEDI5884 not only raised HDL-C but also increased HDL particle numbers.,33883272
aggregation,degradation_pathway,potency,quality_attribute,destabilizes,2,2,high,which in turn causes perturbations in the biological potency of the mAb therapeutic,25221926;33989996
lyophilization,stress_condition,aggregation,degradation_pathway,induces,2,2,high,both F/T and Lyo induce protein aggregation,33989996;39527351
gE P-MN,formulation_factor,stability,quality_attribute,stabilizes,2,1,high,exhibited excellent long-term stability at 25C over 12 months.,41217681
freeze-thaw,stress_condition,aggregation,degradation_pathway,induces,2,2,high,both F/T and Lyo induce protein aggregation,33989996;34059716
cis P-tau,sequence_structure,aggregation,degradation_pathway,promotes,2,2,high,"Cis but not trans P-tau is resistant to protein dephosphorylation and degradation, and also prone to protein aggregation",37638382;38374743
Arginine sulfate,formulation_factor,aggregation kinetics,quality_attribute,decreases,2,1,high,ArgSO... decrease it,27541006
Arginine chloride,formulation_factor,aggregation kinetics,quality_attribute,decreases,2,1,high,ArgCl... decrease it,27541006
thermal stress,stress_condition,high molecular weight,quality_attribute,increases,2,2,medium,fewer amounts of the high-molecular-weight species and the acidic variants of the antibody were generated under thermal ,26462145;38355847
lyophilization,formulation_factor,long-term stability,quality_attribute,increases,2,2,high,"To improve the long-term stability of drugs with limited stability (e.g., biologicals such as monoclonal antibodies...)",26307821;36529257
scR2-Fc,sequence_structure,expansion of Tregs,clinical_outcome,promotes,2,1,high,"the fusion protein, scR2agoTNF-Fc, enhanced the expansion of CD4CD25 Tregs",37612373
freeze-thawing,stress_condition,aggregation,degradation_pathway,induces,2,2,high,The primary route of degradation induced by freeze-thawing is protein aggregation.,17823949;34562558
